END,EOL,,ROUTER,,,TYPE,,,SPECS,,,,,,DIMENSIONS (INCHES),,,PORTS / CHANNELS / SLOTS,,,,,,,,,,,,,,PERFORMANCE,,MEMORY MB,,,,THROUGHPUT - MBPS,,MAXIMUM STREAMS / CHANNELS,,,,,,,,FEATURES,,,,,,,,,,
SKU,EOL,YEAR,MAKE,SERIES,MODEL,A,B,C,IOS,BASE,USERS,SLOTS,RU,POE(W),HEIGHT,WIDTH,DEPTH,LAN,TP,WAN,TP,LAN/WAN,RJ-45,SFP,PVDM,VPN,USB,BRI VOICE,FXS,FXO,DSP,KPPS,MPPS,RAM MIN,RAM MAX,FLASH MIN,FLASH MAX,MIN,MAX,SRST,CUCM,CCME,CUBE,CUE,TCP,IPSEC,T1/E1,SECURITY,VOICE,QoS,3G/4G,GPS,RPS,EXTERNAL,WIRELESS,PRICE,NOTES,DATASHEET
CISCO1812/K9,EOL,2016,Cisco,1800,1812,Branch,ISR,Router,,IP Base,,,,,,,,8,,2,10/100,,,,?,,2,,,,,,,256,384,64,128,100,100,,,,,,,,,YES,,,,,NO,,YES,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/1801-integrated-services-router-isr/product_data_sheet0900aecd8028a95f.html
CISCO1841/K9,EOL,2016,Cisco,1800,1841,Branch,ISR,Router,,IP Base,,,,,,,,,,2,10/100,,,,?,,2,,,,,,,256,384,64,128,100,100,,,,,,,,,YES,,,,,NO,,YES,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/1801-integrated-services-router-isr/product_data_sheet0900aecd8028a95f.html
CISCO1861/K9,EOL,2016,Cisco,1800,1861,Branch,ISR,Router,,IP Base,,,,,,,,,,2,10/100,,,,?,,,,,,,,,256,384,64,128,100,100,,,,,,,,,YES,,,,,NO,,,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/1801-integrated-services-router-isr/product_data_sheet0900aecd8028a95f.html
CISCO861-K9 ,EOL,2016,Cisco,800,861,Branch,Router,Router,,,10,,,,,,,4,10/100,4,10/100,5,,,?,,,,,,,,,256,256,128,128,10,,,,,,,,10,,,,,,,,,,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78_461543.html
CISCO867-K9 ,EOL,2016,Cisco,800,867,Branch,Router,Router,,,10,,,,,,,4,10/100,4,10/100,5,,,?,,,,,,,,,256,256,128,128,10,,,,,,,,10,,,,,,,,,,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78_461543.html
CISCO866VAE-K9 ,OK,2016,Cisco,800,866,Branch,ISR,ISR,,Advanced Security,10,,,15,,,,4,10/100,1,10/100/1000,,,,,,1,,,,,,,256,256,56,64,10,,,,,,,,10,,,,,,,,,YES,$582,,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78-693249.html
CISCO867VAE-K9 ,OK,2016,Cisco,800,867,Branch,ISR,ISR,12.4(22)YB3,Advanced Security,10,,,15,,,,4,10/100,1,10/100/1000,,,,,,1,,,,,,,256,256,56,64,10,,,,,,,,10,,,,,,,,,YES,$582,,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78-693249.html
C812G+7-K9,EOL,2016,Cisco,800,812,Branch,ISR,Wireless Router,,Advanced IP Services,20,,,,,,,4,10/100/1000,,10/100/1000,,,,?,,,,,,,,,512,512,512,512,15,,,,,,,,20,,YES,,,3G,,,,YES,RF,Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/datasheet_c78-680001.html
C819HG-4G-G-K9,EOL,2015,Cisco,800,819,Branch,Router,Wireless Router,15.3(3)M,Advanced IP Services,20,,,,,,,4,10/100/1000,1,10/100/1000,4,,,,,,,,,,,,1000,1000,1000,1000,100,,,,,,,,20,,YES,,,4G,YES,,,YES,"$2,356",Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/819-integrated-services-router-isr/data_sheet_c78-678459.html
CISCO881-K9,EOL,2016,Cisco,800,881,Branch,Router,Router,,Advanced Security,20,,,,,,,4,10/100,,,4,,,?,,,1,4,1,,,,,,128,128,15,,,,,,,,20,,,YES,,3G,,,,NO,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
